model_name,parameter_count_b,numa_nodes,physical_cores,logical_cores,thread_count,cpu_affinity,sm_enabled,benchmark_type,oversubscribed,input_tokens_target,input_tokens_actual,max_output_tokens,context_window,batch_size,load_time_s,file_size_gb,ttft_ms,percentile_ttft_p50,percentile_ttft_p95,decode_rate_tps,percentile_tps_p50,percentile_tps_p95,effective_throughput_tps,parallel_efficiency,per_token_latency_ms,total_runtime_s,static_ram_gb,peak_ram_gb,kv_cache_growth_mb_per_1k,avg_cpu_util_percent,avg_saturated_cores,timeout_s,status,tps_per_billion_params,ram_per_billion_params,ttft_ms_per_billion_params,cies_score
Kiwi (0.7B),0.7,1,2,4,1,[0],True,decode,False,short,28,1024,4096,1,1.29,0.5,127.26,127.26,127.75,7.69,7.69,7.73,7.69,1.0,130.04,133.09,0.62,0.71,84.78,25.05,1.0,300,success,10.9857,1.0143,181.8,15.4807
Kiwi (0.7B),0.7,1,2,4,1,[0],True,decode,False,short,28,2048,4096,1,1.29,0.5,127.1,127.1,127.38,7.7,7.7,7.7,7.7,1.0,129.87,146.28,0.62,0.72,84.78,25.05,1.0,600,success,11.0,1.0286,181.57,15.2727
Kiwi (0.7B),0.7,1,2,4,1,[0],True,prefill,False,256,255,128,4096,1,1.29,0.5,128.85,128.85,129.26,,7.85,7.85,7.85,1.0,127.39,16.31,0.62,0.65,84.78,25.04,1.0,120,success,11.2143,0.9286,184.07,
Kiwi (0.7B),0.7,1,2,4,1,[0],True,prefill,False,1024,1025,128,4096,1,1.29,0.5,136.32,136.32,136.42,,7.54,7.54,7.54,1.0,132.63,16.98,0.62,0.72,84.78,25.05,1.0,300,success,10.7714,1.0286,194.74,
Kiwi (0.7B),0.7,1,2,4,1,[0],True,prefill,False,2048,2045,128,4096,1,1.29,0.5,144.49,144.49,144.62,,7.17,7.18,7.17,1.0,139.47,17.84,0.62,0.8,84.78,25.04,1.0,600,success,10.2429,1.1429,206.41,
Kiwi (0.7B),0.7,1,2,4,2,"[0, 1]",True,decode,False,short,28,256,4096,1,1.29,0.5,106.68,106.68,107.06,9.39,9.4,9.4,9.4,0.59,106.38,27.25,0.62,0.65,84.78,47.42,0.96,120,success,13.4286,0.9286,152.4,20.6474
Kiwi (0.7B),0.7,1,2,4,2,"[0, 1]",True,decode,False,short,28,1024,4096,1,1.29,0.5,106.55,106.55,106.82,9.14,9.14,9.16,9.14,0.59,109.41,112.07,0.62,0.71,84.78,47.53,0.99,300,success,13.0571,1.0143,152.21,18.3841
Kiwi (0.7B),0.7,1,2,4,2,"[0, 1]",True,decode,False,short,28,2048,4096,1,0.3,0.5,106.45,106.45,106.73,9.11,9.12,9.12,9.12,0.59,109.65,123.53,0.67,0.76,79.1,47.6,1.02,600,success,13.0286,1.0857,152.07,17.1334
Kiwi (0.7B),0.7,1,2,4,2,"[0, 1]",True,prefill,False,256,255,128,4096,1,0.3,0.5,107.8,107.8,107.9,,9.33,9.34,9.33,0.59,107.18,13.72,0.67,0.7,79.1,47.9,1.13,120,success,13.3286,1.0,154.0,
Kiwi (0.7B),0.7,1,2,4,2,"[0, 1]",True,prefill,False,1024,1025,128,4096,1,0.3,0.5,115.19,115.19,115.75,,8.86,8.9,8.86,0.59,112.87,14.44,0.67,0.76,79.1,48.14,1.23,300,success,12.6571,1.0857,164.56,
Kiwi (0.7B),0.7,1,2,4,2,"[0, 1]",True,prefill,False,2048,2045,128,4096,1,0.3,0.5,124.04,124.04,124.74,,8.36,8.38,8.36,0.58,119.62,15.31,0.67,0.83,79.1,48.41,1.33,600,success,11.9429,1.1857,177.2,
Kiwi (0.7B),0.7,1,2,4,4,"[0, 1, 2, 3]",True,decode,True,short,28,256,4096,1,0.3,0.5,71.58,71.58,71.84,14.69,14.69,14.7,14.69,0.46,68.07,17.43,0.67,0.69,79.1,80.0,0.0,120,success,20.9857,0.9857,102.26,30.4147
Kiwi (0.7B),0.7,1,2,4,4,"[0, 1, 2, 3]",True,decode,True,short,28,1024,4096,1,0.3,0.5,73.43,73.43,73.54,14.18,14.18,14.29,14.18,0.46,70.52,72.22,0.67,0.75,79.1,79.62,0.0,300,success,20.2571,1.0714,104.9,27.0085
Kiwi (0.7B),0.7,1,2,4,4,"[0, 1, 2, 3]",True,decode,True,short,28,2048,4096,1,0.3,0.5,71.9,71.9,72.57,14.14,14.14,14.17,14.14,0.46,70.72,79.62,0.67,0.76,79.1,79.32,0.0,600,success,20.2,1.0857,102.71,26.5834
Kiwi (0.7B),0.7,1,2,4,4,"[0, 1, 2, 3]",True,prefill,True,256,255,128,4096,1,0.3,0.5,73.74,73.74,73.88,,14.14,14.23,14.14,0.45,70.72,9.05,0.67,0.7,79.1,80.37,0.24,120,success,20.2,1.0,105.34,
Kiwi (0.7B),0.7,1,2,4,4,"[0, 1, 2, 3]",True,prefill,True,1024,1025,128,4096,1,0.3,0.5,79.82,79.82,80.78,,13.76,13.98,13.76,0.46,72.67,9.3,0.67,0.76,79.1,82.08,0.62,300,success,19.6571,1.0857,114.03,
Kiwi (0.7B),0.7,1,2,4,4,"[0, 1, 2, 3]",True,prefill,True,2048,2045,128,4096,1,0.3,0.5,83.23,83.23,83.33,,13.35,13.45,13.35,0.47,74.91,9.59,0.67,0.83,79.1,84.4,0.91,600,success,19.0714,1.1857,118.9,
Kiwi (0.7B),0.7,1,2,4,8,"[0, 1, 2, 3]",True,decode,True,short,28,256,4096,1,0.3,0.5,72.17,72.17,73.24,14.38,14.38,14.52,14.38,0.23,69.54,17.81,0.67,0.69,79.1,79.28,0.0,120,success,20.5429,0.9857,103.1,29.7641
Kiwi (0.7B),0.7,1,2,4,8,"[0, 1, 2, 3]",True,decode,True,short,28,1024,4096,1,0.3,0.5,71.76,71.76,74.51,14.27,14.27,14.3,14.27,0.23,70.08,71.76,0.67,0.75,79.1,79.78,0.0,300,success,20.3857,1.0714,102.51,27.1812
Kiwi (0.7B),0.7,1,2,4,8,"[0, 1, 2, 3]",True,decode,True,short,28,2048,4096,1,0.3,0.5,71.25,71.25,72.27,14.17,14.17,14.33,14.17,0.23,70.57,79.49,0.67,0.76,79.1,79.69,0.0,600,success,20.2429,1.0857,101.79,26.6267
Kiwi (0.7B),0.7,1,2,4,8,"[0, 1, 2, 3]",True,prefill,True,256,255,128,4096,1,0.3,0.5,74.27,74.27,75.29,,14.26,14.34,14.26,0.23,70.13,8.97,0.67,0.7,79.1,80.73,0.24,120,success,20.3714,1.0,106.1,
